region_id,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T
LGA61510,4,9,3,0,16,453,475,173,74,1175
LGA61610,14,12,8,3,37,930,998,384,175,2487
LGA61810,7,10,0,0,17,225,274,139,59,697
LGA62010,3,3,0,0,6,34,21,6,3,64
LGA62210,6,3,3,0,12,270,256,129,43,698
LGA62410,3,0,0,0,3,113,131,68,17,329
LGA62610,18,16,5,7,46,1837,1703,658,290,4488
LGA62810,16,12,3,3,34,1793,2055,636,191,4675
LGA63010,8,10,5,0,23,630,631,309,132,1702
LGA63210,5,5,3,0,13,254,285,105,54,698
LGA63410,0,0,3,0,3,53,51,25,6,135
LGA63610,9,11,3,0,23,1453,1827,669,252,4201
LGA63810,0,0,3,0,3,375,465,189,52,1081
LGA64010,21,23,16,3,63,2393,2610,1044,370,6417
LGA64210,15,5,5,0,25,827,944,372,139,2282
LGA64610,7,6,3,3,19,510,580,226,102,1418
LGA64810,10,0,6,0,16,616,569,221,80,1486
LGA65010,6,3,3,3,15,272,288,117,55,732
LGA65210,4,3,0,0,7,78,78,23,14,193
LGA65410,9,8,3,0,20,526,589,271,94,1480
LGA65610,3,0,0,0,3,188,189,78,30,485
LGA65810,8,7,6,3,24,854,1135,438,148,2575
LGA69399,0,0,0,0,0,0,0,0,0,0
LGA70200,26,13,9,5,53,1018,1001,437,202,2658
LGA70420,24,14,15,10,63,200,179,132,111,622
LGA70540,0,0,0,0,0,4,3,8,0,15
LGA70620,3,12,9,5,29,134,112,79,59,384
LGA70700,0,3,0,0,3,30,28,15,3,76
LGA71000,37,43,18,17,115,2986,2878,1111,470,7445
LGA71300,8,0,3,3,14,275,233,178,195,881
LGA72200,6,4,6,0,16,329,356,186,86,957
LGA72300,14,14,5,3,36,765,901,332,167,2165
LGA72330,19,5,10,5,39,177,140,92,73,482
LGA72800,12,13,5,10,40,1181,1446,605,244,3476
LGA73600,6,7,11,12,36,177,176,131,139,623
LGA74050,0,0,4,0,4,84,81,61,55,281
LGA74500,0,0,0,6,6,185,176,132,155,648
LGA74560,0,0,0,0,0,13,15,0,0,28
LGA74660,4,0,0,3,7,210,191,110,139,650
LGA79399,6,5,0,0,11,296,346,147,64,853
LGA89399,92,107,50,9,258,15770,18859,6586,1981,43196
LGA99399,6,0,0,0,6,129,99,51,16,295
