region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA50080,2051,2341,2421,1743,1814,1552,1036,1880,188,15026
LGA50210,2738,4032,5624,2989,4665,2797,3155,3279,468,29747
LGA50250,423,708,1698,249,552,137,1549,634,95,6045
LGA50280,1030,805,1020,559,576,548,293,839,73,5743
LGA50350,733,1558,1216,739,1157,610,489,636,121,7259
LGA50420,3364,7207,5104,3095,5020,2817,2019,2702,458,31786
LGA50490,1689,3205,2957,1685,2752,1422,1601,1705,299,17315
LGA50560,202,62,82,58,53,22,62,63,6,610
LGA50630,123,142,282,80,111,22,236,123,29,1148
LGA50770,290,64,70,41,55,35,58,111,12,736
LGA50840,312,266,328,192,205,150,200,265,37,1955
LGA50910,167,26,35,43,32,22,31,36,9,401
LGA50980,955,1344,1153,890,993,537,396,650,131,7049
LGA51080,229,50,48,31,34,12,21,58,8,491
LGA51120,174,40,46,42,38,17,39,33,9,438
LGA51190,1358,2241,2909,1339,1791,1440,1413,2019,188,14698
LGA51260,1909,1971,2573,1302,1628,1501,895,1840,165,13784
LGA51310,2160,5169,934,903,1603,967,222,487,153,12598
LGA51330,4296,10192,6142,4234,6848,3929,2770,3974,647,43032
LGA51400,820,1247,1325,588,898,590,626,709,73,6876
LGA51470,83,30,34,13,20,20,39,24,0,263
LGA51540,534,299,328,231,305,160,224,400,49,2530
LGA51610,171,62,86,35,64,33,45,69,6,571
LGA51680,338,224,402,176,301,153,216,257,38,2105
LGA51750,756,1780,229,419,488,358,58,147,56,4291
LGA51820,4999,8377,8596,4291,7342,4158,3392,4423,716,46294
LGA51890,245,346,1136,333,350,289,652,725,88,4164
LGA51960,92,154,400,124,148,68,577,205,42,1810
LGA52030,167,39,50,30,36,14,62,82,3,483
LGA52100,208,53,70,44,49,27,54,47,8,560
LGA52170,704,1634,247,277,368,295,51,106,50,3732
LGA52240,219,30,38,25,36,9,44,90,6,497
LGA52310,136,47,49,27,45,33,35,57,3,432
LGA52380,16,12,5,7,9,4,17,14,0,84
LGA52450,160,52,96,39,70,42,53,83,12,607
LGA52520,283,56,90,37,62,41,64,77,10,720
LGA52590,365,137,211,89,149,87,157,229,23,1447
LGA52660,650,677,1317,512,771,617,695,778,87,6104
LGA52730,465,434,340,215,239,173,113,231,33,2243
LGA52800,256,507,295,377,266,101,167,539,104,2612
LGA52870,472,332,390,215,238,169,230,372,45,2463
LGA52940,135,31,29,18,24,12,26,33,12,320
LGA53010,170,32,24,24,29,10,21,27,0,337
LGA53080,62,38,108,55,36,23,124,63,12,521
LGA53150,597,1322,332,279,468,263,78,165,59,3563
LGA53220,378,853,1932,290,501,125,1937,738,90,6844
LGA53290,1240,768,1007,530,737,546,624,824,85,6361
LGA53360,177,151,255,134,174,107,69,184,17,1268
